Unique ID;Date;Alcaldia;CP;Gender;Age;open_answer1;open_answer_2;Type of facility ;Professional Title;Type of facility ;auto code confidence;auto coded category 1;auto coded category 2
23200028;44785;Cuajimalpa de Morelos;5120;Prefiere no contestar;60-64;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;;;;0,904315863;HABILIDADESDIGITALES;
23200029;44675;Tlalpan;15540;Mujer;80-84;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;;;;0,300209905;HABILIDADESDIGITALES;
23200030;44733;Iztapalapa;9858;Diverso;80-84;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;;;;0,452626884;FLEXIBILIDADLABORAL;
23200031;44595;Iztapalapa;9820;Mujer;65-69;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;;;;0,337440682;MEJORESSUELDOS;
23200032;44873;Iztapalapa;9510;Mujer;50-54;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;;;;0,745734829;CONECTIVIDADINTERNET;
23200033;44933;Tláhuac;13300;Prefiere no contestar;50-54;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;;;;0,037703192;HABILIDADESDIGITALES;
23200034;44743;La Magdalena Contreras;10330;Diverso;80-84;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;;;;0,921255984;TRANSPORTESEGURO;
23200035;44699;Coyoacán;5610;Diverso;50-54;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;;;;0,437863035;CONECTIVIDADINTERNET;
23200036;44713;La Magdalena Contreras;11450;Prefiere no contestar;18-19;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;;;;0,991733281;GUARDERIAS;
23200037;44646;Cuajimalpa de Morelos;6780;Mujer;18-19;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;;;;0,953319505;HABILIDADESDIGITALES;
23200038;44760;Cuauhtémoc;7740;Diverso;15-17;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;;;;0,585222687;TRANSFERENCIASMONETARIAS;
23200039;44604;Milpa Alta;13094;Diverso;18-19;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;;;;0,667943503;SERVICIOSCONFIABLES;
23200040;44629;Azcapotzalco;3520;Prefiere no contestar;20-24;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;;;;0,638729515;HARDWARE;
23200041;44832;Gustavo A. Madero;7150;Prefiere no contestar;40-44;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;;;;0,209458701;SERVICIOSCONFIABLES;
23200042;44718;Gustavo A. Madero;8760;Mujer;20-24;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;;;;0,123924999;MEJORESSUELDOS;
23200043;44712;Azcapotzalco;2760;Mujer;75-79;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;;;;0,611051253;MEJORESSUELDOS;
23200044;44626;Tláhuac;14108;Diverso;75-79;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;;;;0,223402769;SUBSIDIOS;
23200045;44570;Cuauhtémoc;7840;Prefiere no contestar;20-21;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;;;;0,662788981;MEJORESSUELDOS;
23200046;44902;La Magdalena Contreras;11510;Mujer;40-44;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;;;;0,801647287;HABILIDADESDIGITALES;
23200047;44830;Benito Juárez;3023;Mujer;45-49;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;;;;0,14020804;GUARDERIAS;
23200048;44866;Benito Juárez;4710;Mujer;55-59;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;;;;0,929263445;HARDWARE;
23200049;44616;Gustavo A. Madero;7109;Diverso;55-59;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;;;;0,850584477;ESCUELAS DE TIEMPO COMPLETO;
23200050;44748;Tláhuac;14208;Diverso;22-24;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;;;;0,593061954;CONECTIVIDADINTERNET;
23200051;44788;Coyoacán;4470;Mujer;85-89;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;;;;0,537021947;HABILIDADESDIGITALES;
23200052;44913;Xochimilco;16030;Mujer;80-84;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;;;;0,944959245;GUARDERIAS;
23200053;44793;Iztapalapa;9850;Mujer;50-54;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;;;;0,278475982;ESCUELAS DE TIEMPO COMPLETO;
23200054;44798;Cuauhtémoc;7839;Diverso;30-34;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;;;;0,021097507;FLEXIBILIDADLABORAL;
23200055;44587;Tlalpan;14340;Mujer;25-29;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;;;;0,63563143;MEJORESSUELDOS;
23200056;44856;Azcapotzalco;3310;Mujer;65-69;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;;;;0,791472725;SERVICIOSCONFIABLES;
23200057;44768;Álvaro Obregón;1800;Diverso;65-69;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;;;;0,900317782;MEJORESSUELDOS;
23200058;44728;Iztapalapa;9870;Prefiere no contestar;25-29;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;;;;0,284927139;MEJORESSUELDOS;
23200059;44853;Iztacalco;9819;Diverso;20-24;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;;;;0,428213481;MEJORESSUELDOS;
23200060;44780;La Magdalena Contreras;11450;Diverso;55-59;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;;;;0,343879657;MEJORESSUELDOS;
23200061;44676;Tláhuac;14239;Diverso;25-29;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;;;;0,34061806;CONECTIVIDADINTERNET;
23200062;44867;Álvaro Obregón;1539;Diverso;65-69;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;;;;0,507946763;GUARDERIAS;
23200063;44580;Coyoacán;5050;Mujer;60-64;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;;;;0,495916465;ESCUELAS DE TIEMPO COMPLETO;
23200064;44699;Gustavo A. Madero;7150;Diverso;20-24;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;;;;0,189010447;MEJORESSUELDOS;
23200065;44919;Tláhuac;14300;Mujer;15-17;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;;;;0,413785611;SERVICIOSCONFIABLES;
23200066;44842;Iztapalapa;9870;Prefiere no contestar;90 and older;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;;;;0,351557799;HABILIDADESDIGITALES;
23200067;44687;Gustavo A. Madero;7410;Prefiere no contestar;60-64;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;;;;0,845903177;FLEXIBILIDADLABORAL;
23200068;44601;Coyoacán;5220;Prefiere no contestar;80-84;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;;;;0,335271854;HABILIDADESDIGITALES;
23200069;44848;Gustavo A. Madero;7340;Prefiere no contestar;65-69;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;;;;0,885793199;TRANSPORTESEGURO;
23200070;44683;Xochimilco;0;Prefiere no contestar;35-39;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;;;;0,856246294;MEJORESSUELDOS;
23200071;44785;Iztapalapa;9130;Mujer;55-59;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;;;;0,523480432;FLEXIBILIDADLABORAL;
23200072;44830;Tlalpan;15370;Mujer;65-69;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;;;;0,120006796;TRANSPORTESEGURO;
23200073;44911;Benito Juárez;4420;Mujer;35-39;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;;;;0,141296894;TRANSPORTESEGURO;
23200074;44636;La Magdalena Contreras;11570;Prefiere no contestar;50-54;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;;;;0,359631626;SERVICIOSCONFIABLES;
23200075;44782;Gustavo A. Madero;7460;Diverso;20-21;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;;;;0,981832677;FLEXIBILIDADLABORAL;
23200076;44579;Benito Juárez;4260;Diverso;85-89;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;;;;0,349336845;HABILIDADESDIGITALES;
23200077;44842;La Magdalena Contreras;11230;Diverso;22-24;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;;;;0,42561499;CONECTIVIDADINTERNET;
23200078;44902;Iztapalapa;9630;Diverso;20-21;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;;;;0,144683321;SERVICIOSCONFIABLES;
23200079;44647;Xochimilco;0;Prefiere no contestar;40-44;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;;;;0,984182194;FLEXIBILIDADLABORAL;
23200080;44762;Xochimilco;0;Prefiere no contestar;25-29;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;;;;0,307389059;FLEXIBILIDADLABORAL;
23200081;44687;Cuajimalpa de Morelos;7810;Prefiere no contestar;15-17;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.;;;;0,263220272;TRANSFERENCIASMONETARIAS;
